insblock,instrial,duration,prewardA,prewardB,positionA,positionB,trialstart,trialend,eventNumber,presstime,latency,key,outcome,actual_time,optimal_time,trialstart_vblt,feedback_vblt,iti_fixonset_vblt,iti_fixoffset_vblt,ITI
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,1,95994.9646318257,5806.00000000001,"8*",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,2,96308.9646318257,6120,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,3,96601.9646318257,6413.00000000001,"9(",0,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,4,96778.9646318257,6590,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,5,97006.9646318257,6818.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,6,97180.9646318257,6992,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,7,97384.9646318257,7196.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,8,97568.9646318257,7380.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,9,97770.9646318257,7582.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,10,97992.9646318257,7804,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,11,98207.9646318257,8019.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,12,98478.9646318257,8290.00000000001,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,13,98684.9646318257,8496.00000000001,"9(",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,1,6,0.4,0.4,1,3,90188.9646318257,NaN,14,98879.9646318257,8691,"8*",-1,NaN,NaN,NaN,NaN,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,1,100224.029292017,777.999999999992,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,2,100701.029292017,1255,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,3,101021.029292017,1575,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,4,101339.029292017,1893,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,5,101658.029292017,2212,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,6,101837.029292017,2390.99999999999,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,7,102057.029292017,2611,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,8,102266.029292017,2819.99999999999,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,9,102465.029292017,3018.99999999999,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,10,102667.029292017,3221,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,11,102919.029292017,3473,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,12,103113.029292017,3667,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,13,103346.029292017,3899.99999999999,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,14,103550.029292017,4104,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,15,103778.029292017,4331.99999999999,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,16,103970.029292017,4524,"9(",1,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,17,104205.029292017,4759,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,18,104431.029292017,4985,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,19,104651.029292017,5205,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,20,104868.029292017,5422,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,21,105074.029292017,5628,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,2,6,0.249866446576134,0.310700407130837,1,3,99446.0292920172,262753414.212955,22,105285.029292017,5839,"9(",0,11.979041498244,7.8,262744.210883524,262750.277630502,NaN,NaN,0.8
1,3,6,0.325715687150989,0.311433495310136,1,3,106606.012131095,262760580.532024,1,107545.012131095,939.000000000007,"8*",1,7.13578247028215,7.8,262753.460930444,262759.510915605,NaN,NaN,0.8
1,3,6,0.325715687150989,0.311433495310136,1,3,106606.012131095,262760580.532024,2,107771.012131095,1165.00000000001,"8*",0,7.13578247028215,7.8,262753.460930444,262759.510915605,NaN,NaN,0.8
1,3,6,0.325715687150989,0.311433495310136,1,3,106606.012131095,262760580.532024,3,107988.012131095,1382.00000000001,"8*",0,7.13578247028215,7.8,262753.460930444,262759.510915605,NaN,NaN,0.8
