"insblock","instrial","duration","prewardA","prewardB","positionA","positionB","trialstart","trialend","eventNumber","presstime","latency","key","outcome","actual_time","optimal_time","trialstart_vblt","feedback_vblt","ITI","id","iti_fixonset_vblt","iti_fixoffset_vblt","nextkey","prevkey","switch","irt"
1,1,6,0.2,0.2,2,1,277501509.196265,NA,1,278386.076231003,612.897255632561,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@",NA,0,NA
1,1,6,0.2,0.2,2,1,277501509.196265,NA,2,278552.781413408,779.602438036818,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,166.705182404257
1,1,6,0.2,0.2,2,1,277501509.196265,NA,3,278702.785220852,929.606245481409,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,150.003807444591
1,1,6,0.2,0.2,2,1,277501509.196265,NA,4,278836.060835787,1062.88186041638,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,133.275614934971
1,1,6,0.2,0.2,2,1,277501509.196265,NA,5,278969.728781533,1196.54980616178,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,133.6679457454
1,1,6,0.2,0.2,2,1,277501509.196265,NA,6,279069.273214245,1296.0942388745,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,99.54443271272
1,1,6,0.2,0.2,2,1,277501509.196265,NA,7,279219.321717548,1446.14274217747,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,150.04850330297
1,1,6,0.2,0.2,2,1,277501509.196265,NA,8,279336.245909956,1563.06693458464,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,116.92419240717
1,1,6,0.2,0.2,2,1,277501509.196265,NA,9,279469.157335913,1695.97836054163,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,132.91142595699
1,1,6,0.2,0.2,2,1,277501509.196265,NA,10,279635.699295421,1862.52032004995,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"","2@",0,166.54195950832
1,1,6,0.2,0.2,2,1,277501509.196265,NA,11,279752.695663465,1979.51668809401,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,116.99636804406
1,1,6,0.2,0.2,2,1,277501509.196265,NA,12,279885.564048931,2112.38507356029,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","",0,132.86838546628
1,1,6,0.2,0.2,2,1,277501509.196265,NA,13,280118.803907051,2345.6249316805,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,233.23985812021
1,1,6,0.2,0.2,2,1,277501509.196265,NA,14,280285.442873294,2512.26389792282,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,166.63896624232
1,1,6,0.2,0.2,2,1,277501509.196265,NA,15,280418.686373374,2645.50739800325,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,133.24350008043
1,1,6,0.2,0.2,2,1,277501509.196265,NA,16,280618.571488285,2845.39251291426,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,199.88511491101
1,1,6,0.2,0.2,2,1,277501509.196265,NA,17,280785.235616652,3012.05664128065,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,166.66412836639
1,1,6,0.2,0.2,2,1,277501509.196265,NA,18,280935.124870139,3161.945894768,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.88925348735
1,1,6,0.2,0.2,2,1,277501509.196265,NA,19,281085.102853231,3311.92387785995,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.97798309195
1,1,6,0.2,0.2,2,1,277501509.196265,NA,20,281251.942123385,3478.76314801397,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,166.83927015402
1,1,6,0.2,0.2,2,1,277501509.196265,NA,21,281401.690998562,3628.51202319143,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.74887517746
1,1,6,0.2,0.2,2,1,277501509.196265,NA,22,281618.21557632,3845.03660094924,"2@",1,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,216.52457775781
1,1,6,0.2,0.2,2,1,277501509.196265,NA,23,281752.399015048,3979.22003967687,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,134.18343872763
1,1,6,0.2,0.2,2,1,277501509.196265,NA,24,281918.274508771,4145.09553340031,"2@",1,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,165.87549372344
1,1,6,0.2,0.2,2,1,277501509.196265,NA,25,282068.245870276,4295.06689490518,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.971361504869
1,1,6,0.2,0.2,2,1,277501509.196265,NA,26,282218.238752026,4445.0597766554,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.99288175022
1,1,6,0.2,0.2,2,1,277501509.196265,NA,27,282368.212762154,4595.03378678346,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.974010128059
1,1,6,0.2,0.2,2,1,277501509.196265,NA,28,282501.376802782,4728.19782741135,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,133.16404062789
1,1,6,0.2,0.2,2,1,277501509.196265,NA,29,282651.35710347,4878.17812809953,"2@",1,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.98030068818
1,1,6,0.2,0.2,2,1,277501509.196265,NA,30,282801.674113416,5028.4951380454,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,150.31700994587
1,1,6,0.2,0.2,2,1,277501509.196265,NA,31,282967.924059642,5194.74508427083,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,166.24994622543
1,1,6,0.2,0.2,2,1,277501509.196265,NA,32,283101.689343148,5328.5103677772,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,133.76528350637
1,1,6,0.2,0.2,2,1,277501509.196265,NA,33,283251.092569885,5477.91359451367,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.40322673647
1,1,6,0.2,0.2,2,1,277501509.196265,NA,34,283401.428120367,5628.24914499652,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,150.33555048285
1,1,6,0.2,0.2,2,1,277501509.196265,NA,35,283550.960468576,5777.78149320511,"2@",0,NA,NA,NA,NA,9.9,"068",NA,NA,"2@","2@",0,149.53234820859
1,1,6,0.2,0.2,2,1,277501509.196265,277518531.181029,36,283701.353627123,5928.17465175176,"2@",0,17.0062898745535,16.9,6.13105869735591,12.1788687628577,9.9,"068",13.1950672259554,23.1080681099556,NA,"2@",0,150.393158546651
1,2,6,0.2,0.2,2,1,277518714.815701,NA,1,278124.276011873,351.097036502324,"1!",1,NA,NA,NA,NA,5.4,"068",NA,NA,"1!",NA,0,NA
1,2,6,0.2,0.2,2,1,277518714.815701,NA,2,278307.638866576,534.459891205188,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,183.362854702864
1,2,6,0.2,0.2,2,1,277518714.815701,NA,3,278574.080839677,800.90186430607,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,266.441973100882
1,2,6,0.2,0.2,2,1,277518714.815701,NA,4,278741.094589448,967.915614077356,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,167.013749771286
1,2,6,0.2,0.2,2,1,277518714.815701,NA,5,278874.199366645,1101.02039127378,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,133.104777196424
1,2,6,0.2,0.2,2,1,277518714.815701,NA,6,278990.824924065,1217.64594869455,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","1!",0,116.62555742077
1,2,6,0.2,0.2,2,1,277518714.815701,NA,7,279240.456596581,1467.27762121009,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","1!",1,249.63167251554
1,2,6,0.2,0.2,2,1,277518714.815701,NA,8,279407.203826279,1634.02485090774,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,166.74722969765
1,2,6,0.2,0.2,2,1,277518714.815701,NA,9,279573.681225051,1800.50224967999,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,166.47739877225
1,2,6,0.2,0.2,2,1,277518714.815701,NA,10,279707.008488575,1933.82951320382,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.32726352383
1,2,6,0.2,0.2,2,1,277518714.815701,NA,11,279840.857535524,2067.67856015358,"2@",1,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.84904694976
1,2,6,0.2,0.2,2,1,277518714.815701,NA,12,279974.089447798,2200.91047242749,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.23191227391
1,2,6,0.2,0.2,2,1,277518714.815701,NA,13,280307.590197696,2534.41122232471,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,333.50074989722
1,2,6,0.2,0.2,2,1,277518714.815701,NA,14,280590.023046167,2816.84407079592,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,282.43284847121
1,2,6,0.2,0.2,2,1,277518714.815701,NA,15,280889.880350307,3116.70137493638,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,299.85730414046
1,2,6,0.2,0.2,2,1,277518714.815701,NA,16,281006.512198346,3233.33322297549,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,116.63184803911
1,2,6,0.2,0.2,2,1,277518714.815701,NA,17,281139.795096981,3366.6161216097,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.28289863421
1,2,6,0.2,0.2,2,1,277518714.815701,NA,18,281273.068394319,3499.88941894844,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.27329733874
1,2,6,0.2,0.2,2,1,277518714.815701,NA,19,281406.411218672,3633.23224330088,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.34282435244
1,2,6,0.2,0.2,2,1,277518714.815701,NA,20,281556.358080165,3783.17910479382,"2@",1,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,149.94686149294
1,2,6,0.2,0.2,2,1,277518714.815701,NA,21,281689.980005653,3916.80103028193,"2@",1,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,133.62192548811
1,2,6,0.2,0.2,2,1,277518714.815701,NA,22,281839.902698277,4066.72372290632,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,149.92269262439
1,2,6,0.2,0.2,2,1,277518714.815701,NA,23,282023.094053129,4249.91507775849,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,183.19135485217
1,2,6,0.2,0.2,2,1,277518714.815701,NA,24,282223.009296384,4449.830321013,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,199.91524325451
1,2,6,0.2,0.2,2,1,277518714.815701,NA,25,282422.802701924,4649.62372655282,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,199.79340553982
1,2,6,0.2,0.2,2,1,277518714.815701,NA,26,282572.713806742,4799.53483137069,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,149.91110481787
1,2,6,0.2,0.2,2,1,277518714.815701,NA,27,282722.687485784,4949.50851041358,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,149.97367904289
1,2,6,0.2,0.2,2,1,277518714.815701,NA,28,282889.268512878,5116.08953750692,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"2@","2@",0,166.581027093341
1,2,6,0.2,0.2,2,1,277518714.815701,NA,29,283039.206435187,5266.02745981654,"2@",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","2@",0,149.937922309619
1,2,6,0.2,0.2,2,1,277518714.815701,NA,30,283306.376455159,5533.19747978821,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","2@",1,267.170019971671
1,2,6,0.2,0.2,2,1,277518714.815701,NA,31,283489.384722238,5716.20574686676,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,183.00826707855
1,2,6,0.2,0.2,2,1,277518714.815701,NA,32,283638.948192103,5865.76921673259,"1!",0,NA,NA,NA,NA,5.4,"068",NA,NA,"1!","1!",0,149.56346986583
1,2,6,0.2,0.2,2,1,277518714.815701,277531342.186157,33,283772.303266433,5999.12429106189,"1!",1,12.6121553034191,12.4,23.3246688363724,29.4890117566683,5.4,"068",30.5053237805259,35.9200601904886,NA,"1!",0,133.3550743293
1,3,6,0.2,0.2,2,1,277531522.105109,NA,1,278178.986465075,405.807489703875,"1!",0,NA,NA,NA,NA,2.1,"068",NA,NA,"1!",NA,0,NA
1,3,6,0.2,0.2,2,1,277531522.105109,NA,2,278362.129813159,588.950837787706,"1!",0,NA,NA,NA,NA,2.1,"068",NA,NA,"1!","1!",0,183.143348083831
1,3,6,0.2,0.2,2,1,277531522.105109,NA,3,278495.456745597,722.277770226356,"1!",0,NA,NA,NA,NA,2.1,"068",NA,NA,"1!","1!",0,133.32693243865
1,3,6,0.2,0.2,2,1,277531522.105109,NA,4,278645.647282636,872.468307265081,"1!",1,NA,NA,NA,NA,2.1,"068",NA,NA,"1!","1!",0,150.190537038725
1,3,6,0.2,0.2,2,1,277531522.105109,NA,5,278778.721931489,1005.54295611801,"1!",0,NA,NA,NA,NA,2.1,"068",NA,NA,"1!","1!",0,133.074648852929
